CustomerID,Cluster
12821,0
12823,0
12824,0
12827,0
12829,0
12831,0
12832,0
12833,0
12834,0
12837,0
12845,0
12852,0
12855,0
12863,0
12864,0
12871,0
12873,0
12881,0
12882,0
12883,0
12884,0
12888,0
12895,0
12897,0
12902,0
12915,0
12917,0
12922,0
12929,0
12930,0
12938,0
12944,0
12945,0
12953,0
12962,0
12966,0
12968,0
12974,0
12981,0
12982,0
12984,0
12987,0
12990,0
12991,0
12993,0
12995,0
12999,0
13000,0
13002,0
13003,0
13005,0
13006,0
13008,0
13011,0
13017,0
13023,0
13029,0
13033,0
13034,0
13037,0
13040,0
13043,0
13044,0
13045,0
13046,0
13049,0
13052,0
13058,0
13059,0
13060,0
13061,0
13062,0
13065,0
13068,0
13070,0
13072,0
13079,0
13080,0
13083,0
13085,0
13092,0
13095,0
13099,0
13101,0
13103,0
13106,0
13108,0
13116,0
13120,0
13127,0
13130,0
13132,0
13133,0
13142,0
13144,0
13145,0
13146,0
13147,0
13160,0
13161,0
13169,0
13177,0
13182,0
13185,0
13188,0
13194,0
13207,0
13210,0
13216,0
13217,0
13218,0
13220,0
13223,0
13227,0
13228,0
13229,0
13236,0
13238,0
13239,0
13242,0
13245,0
13247,0
13248,0
13255,0
13258,0
13260,0
13261,0
13262,0
13270,0
13272,0
13276,0
13277,0
13279,0
13283,0
13284,0
13292,0
13295,0
13296,0
13298,0
13299,0
13300,0
13302,0
13304,0
13307,0
13311,0
13318,0
13321,0
13323,0
13325,0
13332,0
13338,0
13339,0
13341,0
13343,0
13345,0
13347,0
13348,0
13349,0
13350,0
13351,0
13352,0
13355,0
13356,0
13358,0
13359,0
13364,0
13366,0
13368,0
13369,0
13370,0
13372,0
13382,0
13385,0
13388,0
13389,0
13390,0
13391,0
13395,0
13398,0
13403,0
13404,0
13405,0
13411,0
13416,0
13417,0
13419,0
13420,0
13434,0
13436,0
13441,0
13449,0
13452,0
13453,0
13460,0
13462,0
13464,0
13466,0
13470,0
13473,0
13476,0
13479,0
13482,0
13483,0
13484,0
13485,0
13487,0
13494,0
13497,0
13502,0
13503,0
13504,0
13506,0
13508,0
13512,0
13513,0
13514,0
13519,0
13522,0
13524,0
13525,0
13529,0
13531,0
13538,0
13539,0
13551,0
13561,0
13563,0
13573,0
13575,0
13579,0
13581,0
13587,0
13589,0
13592,0
13594,0
13600,0
13602,0
13615,0
13617,0
13618,0
13626,0
13638,0
13643,0
13645,0
13649,0
13651,0
13657,0
13663,0
13666,0
13669,0
13670,0
13672,0
13675,0
13682,0
13686,0
13690,0
13697,0
13699,0
13703,0
13705,0
13706,0
13707,0
13710,0
13711,0
13712,0
13718,0
13720,0
13721,0
13723,0
13727,0
13731,0
13737,0
13739,0
13740,0
13741,0
13747,0
13748,0
13751,0
13754,0
13759,0
13762,0
13774,0
13778,0
13786,0
13787,0
13792,0
13800,0
13801,0
13803,0
13806,0
13807,0
13826,0
13828,0
13832,0
13833,0
13837,0
13841,0
13844,0
13845,0
13846,0
13853,0
13858,0
13863,0
13865,0
13866,0
13873,0
13874,0
13876,0
13877,0
13884,0
13885,0
13886,0
13887,0
13888,0
13889,0
13893,0
13894,0
13897,0
13898,0
13899,0
13900,0
13904,0
13917,0
13922,0
13923,0
13925,0
13926,0
13927,0
13928,0
13929,0
13930,0
13932,0
13933,0
13936,0
13937,0
13938,0
13946,0
13947,0
13948,0
13950,0
13951,0
13954,0
13960,0
13962,0
13963,0
13967,0
13972,0
13973,0
13974,0
13976,0
13978,0
13980,0
13986,0
13990,0
13992,0
14009,0
14012,0
